id,latitude,longitude,distance,duration
152,40.8651,-73.921884,34607.4,2315
153,40.865797,-73.919996,34927.7,2341.3
154,40.866315,-73.918596,34985.9,2351.1
155,40.866813,-73.917205,35052.3,2341.9
156,40.8272063,-73.9424535,31656.2,2280.9
157,40.830292,-73.9402243,31211,2204.5
158,40.7820374,-73.9717336,33263,2668.3
159,40.8745523,-73.9096352,36785.2,2523.7
160,40.759913,-73.958809,32866.6,2371.9
161,40.7605433,-73.9583477,27044.6,2263.2
162,40.7611623,-73.9579282,33148.7,2457.5
163,40.7617963,-73.9574532,33067.6,2416.9
164,40.7624221,-73.9569952,33147.3,2430.8
165,40.7630478,-73.9565374,32799.5,2357.8
166,40.7636674,-73.956084,32339.6,2353
167,40.7642963,-73.9556238,32259.6,2329.8
168,40.7649208,-73.9551668,32180.1,2318.3
169,40.765554,-73.9547034,32696.4,2487.1
170,40.7661805,-73.9542449,32019.9,2272.4
171,40.7668593,-73.9537482,32106.2,2298.3
172,40.7675414,-73.953249,31497.5,2347.1
173,40.7681813,-73.9527762,32274.5,2345.8
174,40.7688183,-73.9523102,32355.5,2356.2
175,40.769462,-73.9518572,32436.6,2372.6
176,40.7700811,-73.9514145,31175.5,2278.1
177,40.7707103,-73.9509381,32879,2514.8
178,40.7714021,-73.9504368,32683.4,2417.9
179,40.7720657,-73.9499424,31524.7,2379.5
180,40.7726941,-73.9494862,30842.5,2209.6
181,40.773343,-73.9490092,30759.9,2192.5
182,40.7739762,-73.9485506,30679.6,2180.5
183,40.7746141,-73.9480817,30598.4,2174.6
184,40.7752458,-73.9476241,30518.2,2159.1
185,40.775929,-73.947122,30431.2,2148.3
186,40.7766012,-73.9466301,30790.2,2265.8
187,40.7772273,-73.9461727,30266.2,2119.5
188,40.7778572,-73.9457131,30622.2,2197.9
189,40.7784828,-73.9452574,30106.6,2090.2
190,40.7791055,-73.9448126,30027.9,2067.3
191,40.7797677,-73.9443278,29943.7,2053.5
192,40.7812676,-73.9759823,42963.6,2981.3
193,40.7824641,-73.9788209,42985,2990.1
194,40.7832069,-73.9805809,42522.2,2897.9
195,40.7836714,-73.9816869,42415.7,2868.4
196,40.784357,-73.9833075,42272.9,2833.2
197,40.8474237,-73.9313827,32770.9,2268.3
198,40.848038,-73.932849,32629.9,2226
199,40.848626,-73.934239,33001.2,2325.3
200,40.849145,-73.935471,32882.5,2278.5
201,40.849541,-73.936397,32991.1,2312.5
202,40.8513418,-73.9402247,33887,2287.2
203,40.8556043,-73.9379223,34444.2,2419.1
204,40.7371143,-73.9903427,28464.5,2303.9
205,40.7378014,-73.9901312,28591.7,2349.4
206,40.7384888,-73.9899514,28359.9,2296.9
207,40.739176,-73.9897657,28530.7,2353.8
208,40.7398521,-73.989584,28359,2289.3
209,40.7405826,-73.9893518,28275.2,2272.2
210,40.7413644,-73.9891371,28142,2250.6
211,40.7419214,-73.9893149,28131.7,2251.6
212,40.7430424,-73.9891586,28067,2239.4
213,40.743796,-73.989011,28049.5,2263.9
214,40.744533,-73.988869,27966.7,2227.1
215,40.745286,-73.988729,28420.1,2376.5
216,40.7468087,-73.9884802,27859.9,2279.3
217,40.7475512,-73.9883321,27776.4,2250.4
218,40.7482903,-73.9881952,27756.4,2265.1
219,40.7490126,-73.9880238,27674.8,2227.8
220,40.7506844,-73.9878246,27711.1,2269.7
221,40.7514433,-73.9876623,27979.5,2324.7
222,40.7521844,-73.9875229,27542.3,2203.4
223,40.7529027,-73.9873355,27830.5,2290
224,40.7536275,-73.9871097,27747.6,2253
225,40.7543309,-73.9868863,28030,2332.5
226,40.7550519,-73.9866661,27947.7,2312.7
227,40.7558137,-73.9864171,28054,2315.7
228,40.7565995,-73.9861939,28165.8,2398.8
229,40.7572592,-73.9858201,28448.3,2449.3
230,40.7579634,-73.9855335,28667,2475
231,40.7586863,-73.9853225,28955.9,2659.4
232,40.7593949,-73.9850691,28902.8,2547
233,40.7601058,-73.9848067,28820.7,2502.7
234,40.7607802,-73.9844587,28740.2,2458.3
235,40.7614293,-73.9840461,28985.9,2562.2
236,40.7620648,-73.9836282,29234.7,2610.4
237,40.7626973,-73.9832221,29370.5,2677
238,40.7633546,-73.9828256,29427.2,2694.9
239,40.764037,-73.9824772,29345.8,2679.5
240,40.7647366,-73.9822148,29264.9,2655.6
